Contract_Address,Size,Annotation
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,3989300,"Dex, EtherDelta_2, EtherDelta"
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,3270331,"IDEX_1, Dex, Exchange"
0x06012c8cf97bead5deae237070f9587f8e7a266d,2395185,"CryptoKittiesCore, CryptoKitties, CryptoKitties_Core, KittyCore, NFT, https://www.cryptokitties.co/, Collectibles"
0x6090a6e47849629b7245dfa1ca21d94cd15878ef,1508240,"Registrar, ENS-Registrar, ENS"
0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,1353748,"EOSSale, EOS_TokenSale"
0x331d077518216c07c87f4f18ba64cd384c411f84,1142275,
0x744d70fdbe2ba4cf95131626614a1763df805b9e,1085701,"SNT, https://status.im/, Mobile, Wallet App"
0xf230b790e05390fc8295f4d3f60332c93bed42e2,1081196,TronToken
0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5,956508,VIUToken
0xcd111aa492a9c77a367c36e6d6af8e6f212e0c8e,945373,
0xece701c76bd00d1c3f96410a0c69ea8dfcf5f34e,796685,"Etheroll_Old3, Etheroll"
0xab95e915c123fded5bdfb6325e35ef5515f1ea69,748504,Xenon
0xd26114cd6ee289accf82350c8d8487fedb8a0c07,620544,"https://omisego.network/, Dex, OMGToken, Finance"
0x41f274c0023f83391de4e0733c609df5a124c3d4,586440,
0x75aa01dc00f6aeefe14bd58a5b6cbb091c6dc57b,554206,"Etheremon_CastleBattle, Etheremon, EtheremonCastleBattle"
0xd91e45416bfbbec6e2d1ae4ac83b788a21acf583,526288,"Etheroll_Old4, Etheroll"
0x1f0480a66883de97d2b054929252aae8f664c15c,522319,NePay
0xf3e014fe81267870624132ef3a646b8e83853a96,478918,VinToken
0xb1690c08e213a35ed9bab7b318de14420fb57d8c,438862,"CryptoKitties, CryptoKitties_SalesAuction, SaleClockAuction, CryptoKittiesSalesAuction"
0x0cf0ee63788a0849fe5297f3407f701e122cc023,435508,"https://www.streamr.com/, Data, CrowdsaleToken"
0x0abdace70d3790235af448c88547603b945604ea,422710,"District0xNetworkToken, https://district0x.io/, 0x Ecosystem, Marketplace"
0x1530df3e1c69501d4ecb7e58eb045b90de158873,398474,
0x658b958c6c40ed853f75dd67b764c6ab1d396018,397153,
0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,382060,"DSToken, https://eos.io/, Blockchain"
0xc5d105e63711398af9bbff092d4b6769c82f793d,364849,BecToken
0x048717ea892f23fb0126f00640e2b18072efd9d2,355044,Etheroll
0x960b236a07cf122663c4303350609a66a7b288c0,334851,"DAO, https://aragon.network/, 0x Ecosystem"
0x92e52a1a235d9a103d970901066ce910aacefd37,318539,"UCASH, https://u.cash/, Finance"
0x3495ffcee09012ab7d827abf3e3b3ae428a38443,313236,BecToken
0xb8c77482e45f1f44de1745f52c74426c631bdd52,298326,"https://www.binance.com/, Exchange, BNB, BinanceToken, Binance"
0x151bc71a40c56c7cb3317d86996fd0b4ff9bd907,289406,
0xa68920f6d3c996ac3c232e4e93914e9d76150735,283220,
0x041fe8df8b4aaa868941eb877952f17babe57da5,266114,NYBCoin
0xabc1c404424bdf24c19a5cc5ef8f47781d18eb3e,246538,EtheremonData
